grantee,description,amount,period,initiative,program
Vera Institute of Justice,"Vera tackles the most pressing injustices of our day—the causes and consequences of mass incarceration, racial disparities, the loss of public trust in law enforcement, and the unmet needs of the vulnerable – and seeks to transform justices systems to ensure fairness, promote safety, and strengthen communities. This grant supports Vera's Reshaping Prosecution Program, to help reform-minded prosecutors -- especially newly elected prosecutors -- make good on their election promises to reduce mass incarceration and increase racial equity.","$750,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
VIB-KULeuven,"This grant supports the development  of a multi-well CMOS chip that allows us to print defined induced human microcircuits of Parkinson's patients cells, enabling us to test the role of pathogenic pathways (synaptic autophagy, mitochondrial dysfunction, alpha-synuclein) on network dysfunction and screen for novel therapeutic approaches. (PI: Patrik Verstreken, Collaborative Science Award)","$1,050,000",2018 - 2021,Science,Neurodegeneration Challenge Network
Vida Verde Nature Education,"Vida Verde Nature Education works to promote educational equity by providing free, overnight environmentla learning experiences for students who don't otherwise get the opportunity. This Community Fund grant provides operational support for the organization's work in Belle Haven and East Palo Alto communities.","$50,000",2018,Community,Bay Area
VOICES,"VOICES provides healthy, welcoming and lively community centers where transitioning foster youth have access to comprehensive housing, education, employment and wellness services. To bolster their mission of aiding homeless youth, this grant supports staff wellness.","$15,000",2018,Community,Bay Area
Waipa Foundation,"Waipa is a place where folks can connect with the ‘aina (land and resources, that which feeds us), and learn about local values and lifestyle through laulima (many hands working together). This grant will help develop the Waipa Foundation Ocean Program.","$53,000",2018 - 2019,Community,Family Giving
Washington University in St Louis,"This grant supports the development of a tool to facilitate single-cell transcriptome quality control, and to assign and assess cell identity in an unsupervised manner. (PI: Samantha Morris, Human Cell Atlas Computational Tools RFA)","$150,119",2018 - 2019,Science,Human Cell Atlas
Washington University in St Louis,"This grant supports the application of a novel, systems biology approach that leverages multi-omics in stem cells and human tissues to elucidate the mechanisms by which common genetic drivers of neuroinflammation confer resilience to neurodegenerative disease. (PI: Celeste Karch, Collaborative Science Award)","$1,050,000",2018 - 2021,Science,Neurodegeneration Challenge Network
Wediko Children's Service,"Wediko Children’s Services provides comprehensive mental health and therapeutic programs to help children and families increase safety, strength, and resiliency. This grant supports Wediko's work integrating academic and clinical supports for students to strengthen their psychological and social-emotional skills and development. This grant enhances Wediko’s ability to share their understanding, knowledge, and tools with families and referral sources, and to reach more students.","$50,000",2018,Education,Student Development
Weizmann Institute of Science,"This grant supports the application of evolutionary theory, with the key insight that each cell needs to perform multiple tasks, to create tools to interpret the variation in molecular profiles within a cell type. (PI: Uri Alon, Human Cell Atlas Computational Tools RFA)","$160,029",2018 - 2019,Science,Human Cell Atlas
Wellcome Sanger Institute,"This grant supports the development of open tertiary analysis platform and visualisation portal by delivering a set of prototype workflows and a proof-of-concept data portal to serve as an example of best practices for future extension and development. (PI: Kerstin Meyer, Human Cell Atlas Computational Tools RFA)","$199,497",2018 - 2019,Science,Human Cell Atlas
